title,story
사막에 핀 달,"사막의 전사 나디아. 신녀를 찾아 사막에 온 신관 이세리온은 나디아에게 신녀가 되어달라고 말한다. 
나디아는 부족을 지키기 위해 신녀가 되기로 결심하지만, 
야만인이라고 무시받는 상황에서 나디아는 과연 진짜 신녀가 될 수 있을까? 
신녀로 선택받은 나디아와 신관 이세리온의 이야기."
청춘 블라썸,"“푸르지 않아도 괜찮아!”
이제 막 청춘을 시작하고 있는 아이들.
그리고 마냥 아름답지만은 않은 그 시절의 기억들.
봄으로 가기 위한 그들의 성장통.
봄, 여름, 가을, 겨울... 사계절의 빛깔로 담아낸
풋풋하고 알싸한 아이들의 청춘 스토리."
숨겨진 성녀,"오래 전, 성녀를 사랑했던 성기사가 있었다. 사사로운 감정을 가지면 안 되는 성녀에게 해가 될까 그는 늘 한 발짝 떨어져서 성녀를 지켰다. 하지만 성녀는 결국 성기사의 품에서 최후를 맞이하고, 성기사는 비통하게 맹세했다. ‘제게 다음 생이 있다면, 그때는 당신을 성녀로 살게 하지 않겠습니다.’ 
기나긴 300년의 시간이 흘러, 성녀는 다시태어났다. 이번 생에는 두사람의 염원이 이루어질 수 있을까?"
개와 사람의 시간,"나영의 행복을 위해서라면, 무엇이든 할 수 있는 사랑스러운 반려견 우비. 
그런 우비와 나영의 시간에 불현듯 개를 무서워하는 낯선 남자 영민이 들어오고, 
나영과 영민의 관계가 가까워질수록 우비와 그녀의 사이는 멀어져 간다. 
나영의 사랑을 독차지할 수 없게 된 우비. 
결국 스스로의 한계를 느끼고 그녀의 곁을 떠나 
자신을 위한 삶을 살기로 결심하게 되는데..."
그 황제가 시곗바늘을 되돌린 사연,"황후 리지가 숨을 거둔 뒤에야 황제 레온은 자신의 어리석음을 깨닫고 후회했지만 이미 시곗바늘은 지나갔다.
레온의 소원으로 시계탑의 마녀는 레온이 황후 리지를 처음 만나던 날로 시곗바늘을 되돌리고, 과거로 돌아간 레온에게 남은 일은 오직 리지를 행복하게 해주는 일 뿐...
하지만, 되돌린 시곗바늘의 영향력은 생각하는 것 이상으로 컸는데... 과연 레온은 리지를 행복하게 해 줄 수 있을까?"
돌아온 여기사,"평범한 백작가 영애로 살아가던 ""이레나"". 그녀의 가문은 반왕 ""파벨루크""로 인해 하룻밤 만에 숙청당하고 만다. 가족의 복수를 위해 냉혹한 기사로 살아가던 그녀는 무슨 이유에서인지 과거로 되돌아가게 되었다.
가족을 끝까지 지키기 위해선 지난 생에서는 죽었던 황태자 “칼라일”을 살려야 한다!
낮에는 레이디, 밤에는 검을 든 기사로 바쁘게 오가는 이레나. 이번에는 미래를 바꿀 수 있을까?!"
연놈,"중2 여름, 가지 말라는 말도 좋아했다는 말도 하지 못한 채 보낸 그녀가 3년 만에 나타났다.
지나버린 시간과 마주한 소년 그리고 소녀의 이야기"
급식러너,"게임이 현실이 되어버린 세상.
학생들은 점심시간마다 급식실로 질주하는 러닝액션 게임 ‘급식러너’에 열광해있다.
하지만 게임셔틀인 민호에겐 매일의 점심시간이 지옥인데...
그때 민호 앞에 나타난 급식러너의 서버운영자 새나의 제안!
“퀘스트를 클리어하면 게임셔틀에서 해방시켜줄게.”
자유를 위한 민호의 치열한 질주가 시작된다!!!
2020 지상최대공모전 대상 수상 작품!"
늑대처럼 홀로,"조선 말기. 조선,청,러시아의 국경 연해주에 이주한 조선인 마을에, 아비지옥 같은 과거를 묻고 '무명'이라 불리며 살아가는 노인이 있다. 
마른 자작나무 껍질같은 그의 삶 속에 운명처럼 러시아 소녀 비료자가 들어온다. 그리고 다시 무간지옥이 찾아왔다! 
피바다 속에 저무는 마지막 황혼의 검! 자작나무 다리는 믿지마라!!!"
이제야 연애,"숨 막히게 가난한 삶을 살아온 자매, 주은과 혜진. 
어머니의 죽음 후 둘 앞에 팔자에 없다 생각했던 ‘아버지’가 등장한다. 
둘 중 하나가 대성그룹으로 들어온다면, 가난에 찌든 삶에서 구제해 주겠노라는 그의 제안에 언니 혜진이 나선다.
그러나 대성그룹에 들어간 후, 3년만에 혜진은 허무하게 죽어버린다. 
언니의 죽음을 막지 못한 무력감과 절망에 몸부림치던 주은.
그녀에게 새로운 기회가 찾아온다. 
3년 전으로 되돌아온 주은은 언니를 대신해 ‘대성그룹’의 딸이 되어 언니를 죽음으로 이끈 그 집으로 들어가는데…."
