title,story
기스의 대모험,기스의 대모험이 시작된다.
데드 헤이트,킬링타임용 코믹 좀비물 만화 '데드 헤이트' 입니다.
새싹이네,아기가 태어났다. 초보 엄빠와 아기의 좌충우돌 성장기. 화/금 연재 됩니다.
나는 곰인이다,곰인툰 작가 곤상(Gon3)이 태어나고 곰인이 되기까지의 자전적 이야기
곱은 궤,삶의 터전이던 동네 숲에 안개가 끼면서 공포의 대상으로 변모해 버린다.
호텔 무이동,지울 수 없는 너...
곡,어디서 그들이 나타나게 된 것일까 진화의 실패는 '변종'인 것인가?
나랑 밥 먹을래,막연한 계획으로 고향으로 내려간 한서의 힐링 러브스토리.
회화세계,한밤중의 그림 속 학교를 탈출하는 초현실 공포.
오늘도 안냥합니다,오늘도 안녕을 하기 위해 나의 반려묘 키키와 눈인사와 모닝뽀뽀를 합니다.
머니히노,아무생각없이 보기 좋은 감수성이 풍부한 만화
불멸의 시간,"그러니 우리가 원하는 건 간단해 ""거짓투성이인 세상에서 진실을 찾는다, 그게 너희가 존재.."
금꼬버,어느 날 갑자기 코 앞 죽음이 찾아왔다면? 당장 죽기 전에 꼭 해보고 싶은 것들을 적는다!
수원시x단호리의 인권탐구일기,코로나19로 인해 모두가 힘겨운 시대가 왔다. 겪어보고 나니 보이는 사회적 약자의 삶에 대한 이야..
고고고,"“너, 내 집사가 되어라!” 초보 집사와 고양이 세 마리의 털 날리는 일상 이야기"
아이스 랜드,빙하기를 겪는 멸망후 지구를 그리는 작품.(포스트 아포칼립스 장르)
우찬이의 세상만사 시사카툰,핫하게 이슈가 되는 시사소재를 가지고 한 장의 카툰을 그립니다^^
매일 가지가지 한다,가지의 가지가지 일상을 그립니다.
선남선녀와 나무꾼,선녀의 저주에 얽힌 선남선녀 5명의 꼬여버린 애정전선을 풀어가는 캠퍼스 로맨스
드리머,"비일상적인 현실, 실제같은 꿈. 그 사이를 배회하는 세 남자들의 이야기."
일상중의 일상툰,"그런데 그것이 실제로 일어났습니다.의 현실 판,"
H O P E,오염된 지구를 떠나 새로운 지구를 찾아야 한다. 그들의 임무는 성공할 수 있을까?
병사는 죽을힘을 다해 싸운다,"용사도, 영웅도 아닌 병사 ""잭""은 죽을 힘을 다해 싸운다. 전쟁은 꽤 힘들다..."
닥터피치,난 돈이 제일 좋아! 이 세상에 돈이 제일 많은 놈들이 누구지? 나쁜놈들 이군! 자!그럼 털어보자..
격랑,동료였던 자들을 잃고 혼자 살아남은 한 기사의 복수 이야기.
낙원은 없다,"꿈도 열정도 없는 청년들이 모이는 곳, 어둠이 오면 불이 켜지는 쾌쾌한 낙원 (격주 업로드)"
비밀남녀,"말 못할, 들켜선 안될, 믿기 힘든 각자 다른 사연의 비밀을 가진 청춘남녀가 모여 벌어지는 캠퍼스.."
초인들,신선의 도술과 정기를 그대로 이어받게 해준다는 천도복숭아를 먹고 초인이 된 다섯 사람들의 이야기
아내,국제 부부 일상 만화
낮잠 자는 사람들,"평화로운 남북빌딩 지하에서 먹고, 자고, 일하고, 성장하는 지하사람들 밀착 일상툰"
어쩌다 강아지,동생 남친에게 살해당하고 저승에서 어쩌다 강아지로 환생한 나. 놈에게서 동생을 구해야 한다.
1화,테스트 웹툰 입니다.
별을 향해,주황색 별에 살던 작은 아이가 우주로 떠나며 별들을 여행하는 이야기
이상한 로맨스,이상한 치과에서 이상한 치과의사와 이상한 로맨스 4컷만화 매주 화/목 연재
그 이상의 삶,"1933년, 사랑과 비극의 독백"
아무도 모르는 마녀,"늙지도 않고, 죽지도 않는 마녀가 살고 있다는 소문. 거리의 소년은 그 소문을 찾아 나선다."
숲의기원,갑자기 부자가 된 미아네 가족이 숲으로 이사와 부자로 만들어준 아빠 동업자의 가족을 만나며 벌어지..
판도라의 상자,상자를 연 자에겐 압도적인 코미디의 원천을 뿜어낸다!
겁쟁이 일기,겁 많은 여자가 황당한 사건을 겪고 성장하는 이야기
아틀란티스,"인간과 로봇의 차이는 무엇으로 나뉘는가. 세계대전 이후 폐허가 된 지구에서 AI 아틀렌, 인간과 .."
미토피아 네온시티 쟁탈전,좋아하는 캐릭터들이 한 자리에 모인 2차 창작 만화입니다.
나홀로 짠,혼술 이야기~
THE ENDLESS,기억을 잃은 남자. 그를 쫓는 마을 사람들. 사람들은 그에게 죽여달라 말을한다.
마운틴,"산의 시대. 심마니, 별사냥꾼, 파수꾼은 저마다의 이유로 소원을 들어준다는 ‘검은별’을 찾아나.."
고스트 엠파이어,죽음의 세계에서 자신을 깨워준 작은 인형부비를 되찾기위해 낯선곳으로 떠난다
이웃집 싸이코패스,술로 인해 정신을 잃었던 현준은 깨어나 보니 자신의 옆에 죽어있는 전 여자친구 서아를 발견하는데...
미션 대파서블,지구를 침략하려는 외계인 민기종족 들을 막기 위해 출동한 나사 빠진 스파이 2명의 여정이 시작된다..
무림비사,무림비사를 둘러싼 정천맹과 아수라 혈교의 싸움에 주인공 세명이 휘말리게 된다
로마의 법칙,"이태리에서 직장인이 된 늘보가 들려주는 이태리의 문화, 음식, 생활, 일상이야기"
피쉬보울게임,"정신을 차려보니 그는 출구조차 없는 지하주차장에서 눈을 뜨게 되었다 누가, 왜, 무엇을 위해 가뒀.."
위탁가족,"14년차 위탁가정 찬이네 가족과 아기 빵실이의 일상, 육아, 입양, 그리고 위탁가정 이야기"
녀석들,그 녀석이 만나는 녀석들 이야기
마드모아젤 드 빈,자유로운 영혼의 와인 애호가 엠마는 사교계 데뷔와 첫사랑을 둘 다 성공할 수 있을까?
대리인,표정을 읽는 고등학생 강우와 살기 위해 대리인이 된 검사 차시혁의 살아남기 위한 가스라이팅 추격전
오늘도 평화로운 가족 일기,어디서나 볼 수 있는 평범한(?) 가족 일기!
꽃이 피는 자리,"환경 오염으로 파괴 되는 자연,인간과 함께 살아가기 위해 자연은 진화한다."
어른어른 glimmering,"어떻게 해 나가야 할지 어른어른하다. 뭘 하고 싶었는지도 어른어른하다. 과거도 어른어른, 미래도 .."
눈의 왕,"법이 무너진 도시, 살아남기 위해 악마와 손잡은 소년 하루. 생존을 건 소년의 전쟁이 시작된다."
둔갑소녀 자미,사실 유민이와 나는 별다를 것이 없다
매직X팔레트,외계인과 싸우는 마법소녀(?)들의 이야기
신을 위한 변론,"신에 대한 알려지지 않은 이야기와 각종신화에의 결합,+과학적인 사실+천사루시퍼의 내용이 주된내용입.."
애플 앤드 시냅스,위치불명 우주함선 에서 벌어진 미스터리한 사건을 조사하는 이야기 sf/호러 도트스타일 웹툰
KCH툰,일상에서 판타지까지 다양하게 그려봅니다 저희 그림에 관심이 생기시면 트위터에도 들려주세요~ @0..
이크에크,이크와 에크의 3컷 옴니버스 단편선
모든게 우리때문이라고,평범한 고등학생 남녀가 우주멸망에 휩쓸려 새로운 능력을 각성하면서 생기는 이야기.
지옥파괴,거대한 음모에 의해 파괴된 지옥을 재건하기 위해 7대 사탄 릴리트는 선대 사탄들을 찾는 여정을 떠..
블루밍 버디,당신의 단짝 친구가 되어줄 반려 로봇을 드립니다! + 매주 금요일 업데이트
일렉트릭 마이 라이프,내 기타가 말을 한다고?! 음악을 꿈꾸는 청춘 이야기!
토끼와 당근과 클로버,토끼는 당근과 클로버 중 어느 것을 더 좋아할까?토끼의 첫사랑을 찾아가는 이야기.
바람의나라,용의 피를 이어받은 인간 '단'은 나라를 뒤흔들 새로운 바람이었다.
힂어 이즈 백,스스로에 대해 나아가기 위해 100일 동안 매일 만화를 업로드합니다.
가지가지 브로콜리,"고양이, 시골생활, 술 라이프! 두 여성의 일상 이야기"
한때는 커플,헤어진 커플의 주작 로맨스
여대생존기,'여대생들 기싸움 심해?' 주변인들의 질문에 걱정 가득안고 뒤늦게 들어간 여대생..
뚜두봉 주짓떼로,꿈을 위해 살아가는 한 청년의 웃기면서 슬픈 이야기.
리버레이터,왕이 되어야 이 세계를 바꿀 수 있는데 과연 특별한 재능을 가진 강재는 왕이 되어 세계를 바꿀 ..
Helix,로세와 그 주변에서 일어나는 에피소드.
전셋집 꾸미는 만화,마음에 드는 집에 살고 있나요?
Bird,"버드라는 이유로 감시 속에 살아가야 하는 이나, 평생의 친구 은하를 만나게 되지만..."
용사사전,"용사들이 사는 세상 아벤, 그리고 인간계, 이를 침략하려고 하는 마계의 왕인 마왕.,"
미르틴의 소소한 생활,자유고양이 미르틴의 소소한 생활을 이야기하는 웹툰이랍니다.
꽃들의 사랑,다 읽지도 못한 로판소설의 악녀로 태어난 이하나. 그녀가 알고 있는 것은 단 4명의 죽음뿐.
엑스마스 프로젝트,"행복하기만 할 것 같았던, 그 12월 25일의 X-Mas"
고양이별,반려동물의 마지막을 함께하는 여행이야기
보기보다 괜찮은 친구,험악한 인상을 가진 조창건. 모두가 그를 무서워하지만 남들이 생각하는 것과 달리 다른 모습을 가지..
리트라인,"연애와 담이 있던 신미나, 근데 점에서 남자 두 명과 꼬인다고 한다. 신미나의 연애 연대기는 이제.."
성소향전,궁녀가 된 자객의 고군분투 궁중일지
연애사색,"우리 모두는 누군가의 기록에 남았을, 찬란한 20대였다."
사이코에게 순정따위,사이코패스 치료를 받고 평범하게 살고 싶은 사이코의 아슬아슬 스릴 로맨스
낙원주택,대대로염전사업을일궈온기업의재벌3세부회장인주인공은더폼나는게임사업을위해게임을개발한다
단편 AI가 그린 호랑이형님,단편작. AI가 그린 호랑이형님 패러디
이번 생만큼은,"전생의 기억을 잊고 싶은 한가영, 그녀의 바람 잘날 없는 현생 스토리"
AI스토리텔링,무작위의 ai일러스트의 스토리를 추가
기사단장의 새로운 삶,"기사단장으로서 나간 전투에서 죽음을 맞은 뒤, 시골 소녀로 다시 태어난 엠마. 그녀의 우당탕탕 모.."
마계 경찰 미카엘,마계의 경찰 '미카엘'이 인간계에 숨어든 불가사의한 존재를 체포하는 이야기
조심해,빈민가에 사는 초등학생들이 우연히 신기한 일들이 발생하는 미스터리 스팟을 발견했다
5도 해병의 회고록,"아, 아련했던 해병대 실무 생활의 추억이여!"
악마로소이다,"사제가 되어버린 악마, 저주에 걸린 용사의 후손과 미친 광룡의 이야기"
알고보니 탐험대,AR학습도감 앱과 연계되어 어린이 과학상식을 배울수 있는 어린이 판타지 명랑 웹툰
도그마,트라움 시티에서 작은 사무소를 운영하는 주인공. 기괴한 괴물들과의 조우에서 벌어지는 사건들. (자..
이종공학 고등학교,2년 전 그 사건 이후 엘프와 알고 지내 온 남고생 스토리. (20화까지 주 2회 연재)
공부인,외계인의 지구 무장해제. 그 이후 벌어지는 대맞짱시대.
식스틴 페더,16살의 배드민턴
보아즈ㅡ엔젤하트,주신이 안식에 들어간 후 인류존폐를건 하루전쟁이 시작된다
검귀전기,강호여정
메탈소울,복수를 하고 진실을 찾기 위해 여행을 떠나는 메탈소울.
나를 양지바른 곳에 묻어줄래,보잘 것 없는 가난한 소녀가 한순간에 귀족 영애의 삶을 훔쳐 살게 된다면? 매주 금요일 저녁 업..
국내산닭둘기의 중2병공방,중2병 작가. 지망생 국내산닭둘기의 공지와 일상. (자유연재)
파도의 포말,'그녀'가 죽었다. 그 날에 사로잡힌 세 사람의 이야기.
코도치,코린이 코도치가 알려주는 코인 이야기! 생소한 코인용어들을 하나씩 공부하면서 미래를 준비해봐요.
견생＆묘생,"강아지 토리와 고양이 미로의 일상 모습들을, 인간의 모습으로 비유해서 보여준다!"
포 어 베러월드,"미친 창의력을 가지고 기괴한 세상을 창조한 창조자와, 그와 맞서는 희망(호프)들의 이야기."
비공일기,꽃을 싫어하는 남녀.
Immortal Family,"[퀴어] 양아들 리오로부터, 양아버지 랄프가 그가 사랑하는 최시혁을 지키려는 이야기."
NEW 대화가 있는 밥상,부산광역시교육청에서 가족 간의 행복한 대화를 지원하기 위해 “ NEW 대화가 있는 밥상 ”을 준..
캣츠비안나이트,Cat'sbian night 고양이와 밀메이커가 보고 듣는 주변의 여러 이야기들
그 녀석에게도 순정은 있다,[BL15]사랑에 다소 냉소적인 강영운이 대학에서 윤민월을 만나 순수한 사랑에 빠져드는 이야기.
애플 마크,너와 나는 절대로 친해질리가 없어.
향연,정체불명의 저택에서 정체불명의 존재들에 의해 벌어지는 살육의 향연!
용사연구소,마법 장비를 연구해서 몬스터들을 공략하는 판타지 웹툰
봉선화연정,망해버린 12년의 연애사를 바꾸기 위한 학창시절로의 회귀. 봉선화는 진정한 사랑 찾기에 성공할 수..
로맨스 리부트,"흑역사로 남은 첫사랑을 다시 만났다! 그렇다면 코미디 아닌 로맨스, 다시 가능한 걸까?!"
우리 아빠 이상해,아빠는 하루종일 뭐해? 한 아빠의 일상 우리 아빠 이상해!
보미의 일기,하루일과를 마치고 적는 보미의 그림 일기. 소소하지만 행복한 날들의 기록_
베리네집,일로 인해 지방으로 떠난 엄마 없이 둘이서 오순도순 열심히 살아가는 도깨비 부자 이야기
딴 짓이 제일 재밌어,매일 같은 나날 속에서 딴 짓을 찾아 노는 일상툰! (자유연재)
세 번째 뜨는 해,감정기복의 심한 자신을 숨기고싶어하는 '유다해' 앞에 모든걸 꿰뚤어 보는 듯한 ..
내 연애는 생방송 중,같은 반의 짝사랑하던 모범생 여자애가 알고보니 내가 좋아하는 인기 스트리머였다?!
크레파스맛 로맨스,"반강제로 떠밀어 시작된 그녀의 연애는 달콤함 없는 카카오 99% 크레파스맛! 이 연애, 달콤해질 .."
HDHL,HOW DEEP IS YOUR LOVE? (당신의 사랑은 얼마나 깊은가요?) 서진의 자아와 진정한..
THREE,학창시절 학교폭력을 경험한 세 사람. 피해자와 가해자. 그리고 그들을 애써 무시했던 방관자의 스토..
해태시티는 호락호락하지 않다,해태시티는 범죄자들에게 관대하지 않는다.
되살나,그저 되는대로 살아도 왠지 나쁘지 않을 것 같아
지렸다,나 28세 김현우 백수 10개월 아기가 되다.
실드리스,실드로 보호를 못받는 실드리스인 소년과 실드브레이커인 소녀가 만나며 얽히는 이야기
꼬믹스,꼬믹스 마을에는 책을 좋아하는 아가들이 삽니다♡
와글와글 어묵탕,어묵들이 목욕탕을 냈다?! 망해가는 목욕탕을 인수한 어묵들의 이야기!
살인스러운 그녀,"남녀공학으로 전환된 학교, 반에 새로 들어온 16명의 남학생들 중 연쇄살인마가 있다."
향연,황금의도시에서 붉은욕망이 소용돌이친다.괴물들의 축제가 시작된다.
자식농사 망쳤구려,평범한 가족들의 비범한 엽기 이야기
매일의 조각,2인 2묘 가정의 일상 이야기
던전 헌터 그 녀석들,잡으라는 몬스터는 안 잡고 엉뚱한 짓을 벌이고 다니는 헌터가 있다. 살림살이가 함께하는 던전 탐험..
데스밸리 완결,별을 보러 미국의 데스밸리로 간다.
이상한 묘묘호텔,저 제대로 취업한거 맞죠? 아깽이 베티의 취업 이야기.
정만복의 대모험,정씨 가문의 장녀 정만복 대학 졸업 후 백수 생활이 적성에 딱 맞다! 그녀의 좌충우돌 대모험이 시..
꼬밍 베이커리,"마음속에 간절한 소원이 생기면, 종이비행기로 접어 날려보세요. 꼬밍 베이커리가 소원의 빵을 만들어.."
달의 인력,널 만난 건 내 생에 가장 잊을 수 없는 끌림이었어.
우리들의 연예서,공동의 목표를 이루기 위한 문라잇 멤버들의 우정물
멍은 멍이요 댕은 댕이로다,멍멍댕댕- 흐르는대로 살아가는 어느 강아지의 일상툰.
사표는 참을 수 없어,세 여자의 힐링 일상 이야기
요랑도 콘티연재,하프몬스터 이랑의 세상의 시선을 극복하는 이야기
성취갈망,엘프들과의 만남이 있는 즐거운 이세계 여행이 아니다. 소원이라고는 원래 세계로 돌아가는 것 뿐!
인물사주열전,역사 속의 인물을 비롯해 당대에 활동하는 각 분야의 인물들에 대한 사주이야기
로판도 식후경,"로맨스 판타지 클리셰도, 밥 먹고 합시다!"
그대 손에 물든 초록,"혼자 살아가던 세 명이 만나 서로를 치유해나가고, 식물을 통해 사람들에게 위로를 건네는 이야기."
사주카페 꽃길,사주카페에 찾아오는 손님들과 명리학에 얽한 신비한 이야기들.
강호,전직 조폭 두목의 아들 최강호. 아버지에게 인정을 받기 위해선 교문고의 졸업장이 필요하다.
참 대 한 해 요,병식이썰 블로그 주인장 김대한과 초절정 미녀작가와 협업으로 재 탄생한 파란만장 좌충우돌 절래절래 ..
비상사태다 말이 나와버렸어,함구증을 가진 소녀의 밴드부 생활기
창귀,오지 마을의 평범한 숲에서 사람들이 흔적도 없이 사라졌다.
어쩌다발견한7월 표절 고발,어쩌다 발견한 7월은 표절입니다.
네일을 향해 쏴라,"거친 삶을 살아왔던 야수 같은 남자 강찬영, 최고의 네일 아티스트가 되기 위한 인생 2막을 열다.."
체인,포스트아포칼립스. 감정으로 사슬처럼 얽혀가는 사람들의 이야기.
12,먼 옛날 하늘에서 12개의 빛이 지구로 떨어지는데 그 빛을 수호하려는 수호신과 빼앗으려는 자들의 ..
이중적 선망,청춘과 함께하는 사람의 이야기
HOLY JUNK,두 주인공과 주변인들의 일상을 통해서 과거와 현재를 천천히 이야기합니다.
이거 실화 연예계 웹툰,이거 실화? 연예계 웹툰
복희의 키친,부조리한 비정상 환장의 세계에서 정신나간 쉐프와 정신없는 재료들이 벌이는 매콤 착란 떡볶이 요리 ..
I wish 리메이크,주술로 빼앗긴 남자친구와 검은천사
날림생활기,날로 먹는건 좋은데 인생 날리는 건 싫어요(?) 아이러니 가득한 도둑놈심보로 인생 사는 기록들
BL러지만 고백받고싶어,썩어버린 BL러 28살 이은지. 자신의 썩어버린 면모를 숨기고 무사히 소개팅남에게 고백을 받을 수..
MBTI 16의 세계,MBTI 16가지 유형의 우당탕 일상! 매주 일요일 연재
유아독존,고등학생 주인공 정민혁의 성장극.
두양고 찬양,"자율형 사립고 두양고등학교. 두양고에 입학한 오찬미는 스캔들에 휩쓸리는데.. 10, 20, 30일.."
부부의 숲,게임하는 개으른 남편 곰냠이와 주도적인 짠순이 아내 치와양의 부부생활 이야기.
칠요기행,불의의 사고로 영멸자가 된 인간소녀 연이. 반용족 조직 칠요와 함께 영멸검을 모으기 위한 여정을 ..
그 녹음의 계절,상희는 10년 만에 대학 후배인 준희와 재회한다. 두 사람은 묘한 인연으로 동거 아닌 동거를 하게..
야 이고봐라,"고졸 백수 집순이, '이고' 좀 보실래요?"
착한광고기획,"""광고주는 내가 선택한다!"" 는 범상치 않은 광고기획사. 직접 선택한 광고주와의.."
제이크맨션,고객의 요구대로 생물과 환경을 제작하는 행성디자이너들의 일상
브라보 마이 데스 라이프,현실을 살아가기 위해 드라마 속에서도 살아남으려 고군분투하는 엑스트라 서리나
로맨스는 병,10번의 우연으로 로맨스를 완성한다!!
가족이되는과정,두 사람 사이에 꿈에 그리던 아기 천사가 찾아왔다. 당연하게?누구나 겪는?결코 순탄치 않은 가족이..
괴물 아이,"외딴 섬 마을,고립된 기숙사 학교에 방학 동안 이들은 진화하는 검은 존재들에게 살아남을 수 있을까"
거짓말쟁이 윗치,달빛을 받아 마법을 쓰는 윗치(Witch)들과 인간이 공존하는 세계. *매주 토요일 밤 11시 반..
청월 물에 비친 달,경화수월이라는 말을 아시오?
옥수수군의 일기,일러스트레이터 옥수수군의 삼삼한 이야기
지지못미,바뀌어 버린 지구에서 천지를 찾아야 한다. 그래야 다시 완벽한 지구의 모습을 찾을 것이다.
일본 여행기,"어리던 그 시절 대학교 새내기들의 첫 해외여행 짧았지만 즐거웠던 그때를 추억하는 여행일기 [토,일.."
이상낙원,마법 학원 판타지
모순일기,모순투성이의 나를 그립니다. 반갑습니다
탱이의 시시한 일상,청각장애인 탱이의 평범하지 않은(?) 일상을 파헤치기.
Recall,추운 섬을 벗어나 자신에게 걸린 저주를 풀러 모험을 떠나는 류이. 그 저주를 둘러싼 비밀이 밝혀지..
NOT BLUE DAY,계획도시 메그롤리아의 영웅 디스터와 어린 에디의 특이한 일상 이야기! ( 격주 연재 )
메소드머신,투자자들의 반발로 영화 제작이 무산된 박감독은 인공지능 배우들과 함께 메타버스 드라마를 만들게 된..
환세취호전 외전,"환체취호전 엔딩, 그 이후의 이야기... 이번엔 암흑세계 무투대회다!!"
거석의 파편,LOL 말파이트이야기. 자유연재.
내가 그랬어,외계인 비안이와 지구인 관유의 성장이야기. 자유연재
TM 소사이어티,"""인구절벽!! 전세계적인 인구감소가 시작됐다!!"" 박사 팀모리 vs 혁명군"
오오어,"인간 치트키일 것 같지만 사생활은 상큼하지만은 않은, 각자의 사정을 지닌 대학병원 의사들의 로맨스.."
고교판타지,판타지적 고교생활
덕희와 덕후,애니메이션 굿즈샵에서 일하는 아이돌 덕후 오덕희. 월수금 연재
해체부대,"18년도 남들 다 가는 군대 나도 갔더니, 컨테이너에 살다가 부대가 해체되어서 혼자 남아버렸다."
동물의낭국,동물보다 더 동물같은 낭국이와 친구들의 일상!
게임이 망하기 전에,망겜 <일리나르>의 팬카페 운영자 카티나는 갑자기 발표된 섭종 공지에 대책 마련을 시작..
잡귀,job 귀 - 현실에 있을 법한 여러 직업에 관련된 옴니버스 공포 소름이야기.
좋지 아니한가,중년의 당신은 행복한가요? 세월 속에서 진짜 어른이 되어가는 중년 이야기
크리에이터 펀치킹,학원 마법 크리에어터 판타지
위로의 친구,상실로 인해 매일 무력감이 느끼는 하늘이 정체 모를 남자에게 생각지도 못한 도움을 받게 되는데..
캣빗툰,(매주 목/일에 연재) CAT+RABBIT=
매일 메리 크리스마스,메일 메리 크리스마스는 싫어
깨비몽,도깨비의 저주인 도깨비병을 치료하기 위해 도깨비들이 직접 나선다!
밍기덕 쿵더러러러,"고양이 두 마리, 서울상경!! 반오십 밍기가 매주 뜬금 없는 일상을 날깁니다."
화양,내가 사랑한 그녀는 맹인이다.
새벽이 타오를 때,'귀신을 베는 검' 은 운명을 거부하려는 몰락한 무당집안의 장남 '백영..
청,무당집의 여고생 '신미희'와 그 몸에 들어가버린 잔악무도한 악귀 '청&..
나x나,연애 빼고 다 잘하는 철저한 엘리트이자 나르시스트 회사원 '동욱'이 2명이 되면..
여자가 좋아,서큐버스 혜미의 대학생활
제 4의 벽,"친구들은 실수로 '제 4의 벽'을 넘고, 자신들이 만화 캐릭터라는 사실을 깨닫게.."
플랫폼,방사능으로 초토화된 대한민국. 정부는 사태를 수습하기 위해 AI 플랫폼 라이더들을 고용해 즉결형을..
만파식적,"마도사에게 파괴된 신비한 피리, 만파식적을 찾아 떠난 화랑의 여정"
엉터리 용사,용사같지않은용사?!
멍청군 오늘은 어떤일이,어리숙하지만 착한 멍청군한테 오늘은 어떤일이 있었을까요. 멍청군의 일상에 당신을 초대합니다~^^
채채쓰 웃픈일기,안녕하세요. 채채쓰는 슬프지만.... 친구들은 웃기다고 하는 이야기들을 모아봤습니다!! 잘부탁드..
악어새,절망속에서 먹고 살아남는 이야기
타임 테라피,"과거로 돌아갈 수 있는 기차를 타면 , 새로운 삶을 살게 된다.금,토 연재"
조이,예견된 참사를 막아라..! 초짜 승무원 나비와 꽃의 요정 조이의 좌충우돌 눈물겨운 우정이야기
악몽 꾸는 악,인간을 죽이는 도깨비병을 죽이는 도깨비들.
구미호가 된다면,구미호전 입니다.
23살 22학번 박새람,3살 어린 동기들과 같이 입학한 어린듯 늙은듯 어리버리깐 00년생 박새람의 대학생활 이야기
캠퍼스 라이프,하루아침에 명문대 신입생이 되어버린 사채업자 이제는 씁쓸한 인생이 아닌 달콤한 대학생활
나른한 일상,나른한듯 나른하지않은 소소한 일상 이야기 / 매주 수요일 연재
사활,"호랑이는 멸종되지 않았다! 호랑이를 지키려는 자 vs 호랑이를 죽이려는 자, 사활을 건 승부가 .."
우리반 외계인이 이상해,외계인과 사랑과 전쟁을 다룬 이야기입니다.
백곰선생의 학급일지,백곰 같은 초등교사의 좌충우돌 초등학교 적응기
말풍선 일기,어느 날 사람들의 말이 말풍선으로 보이기 시작한다. 나는 이걸 일기로 기록하기로 했다.[자유연재]
찐빵,찐빵의 하루
스판스,오디션프로그램전성시대! “리얼격투여성 프로레슬링오디션”이 시작된다!
IF,"남들과 다른 능력을 가진 ""이현재"" 그의 능력은 꿈을 현실 그 자체로 느끼게 .."
이 세계 마왕님,장난으로 만든 제단으로 이세계에서 마왕을 소환해버린 소녀와 이세계(현대)로 강제소환된 괴물마왕의..
지제툰,일상 코믹 지제툰
모두의 미아씨,"하루 네 컷, 월화수목금 업데이트 됩니다! 혼자 사는 직장인 미아씨"
가수마왕,인간들에게는 최악의 목소리가 마물들에게는 천상의 목소리다! 인간으로서 마계의 한 마왕으로 살아갈 ..
89년생 20년생,89년생과 20년생의 휴먼성장스토리 단편선
어퍼어스,"죽기 직전의 지구를 대체할 행성 '천구'를 발견하지만, 예기치 못한 사고로 급변.."
배드엔딩,기괴하면서 약간은 불쾌한 배드엔딩 단편들
귀신잡는 해병대,"진짜 귀신잡는 해병대라니?! 이병 장천후의 짜세나는 내무생활! <매월 5, 15, 25일 업.."
하루 또 하루,하루 또 하루인 소소한 일상을 그림일기로 그립니다.
남매,그저 평범하고 소소한 일상 이야기
멍든눈의 캐셔,"쓰레기더미 속에서 잔뜩 움츠린채 숨어있는 홈리스,마녀. 웃어주니 고개를 드네. 부스럭거리며."
날씨와 생활,일주일에 한 번쓰는 일기입니다.
청소아줌마 경비아저씨 반백수,"청소하는 엄마, 경비하는 아빠, 반백수 딸, 그들의 삶의 현장에서 벌어지는 웃픈 이야기들!"
인생 나이만 먹었다,"40대 전직 방송작가의 잔잔하면서도 파란만장한 일상, 과거이야기."
나의 작은 가족,생각을 SNS로 표현할 줄 아는 반려동물들과 일어나는 각각의 에피소드를 그린 옴니버스 웹툰
숲속의 파드마 요가원,숲속의 수행터 파드마 요가원에서 일어나는 건강-공포-코믹 에피소드를 소개합니다!
Death valley,"""당신이 만약 내일 죽는다면 오늘 하려는 일을 할것인가."""
싱글러 포인트,-
